,word
0,the corrective forces through dollar/yen were held up a touch on friday with mixed data points positive payrolls but disappointing ism 
1,daily market outlook on major. update time: 04 nov 2019 09:30gmt. usd/jpy - 108.37. dollar's selloff from last wednesday's high at 
2,usd/jpy had a very bearish last week. the pair produced an engulfing bearish weekly candle at the resistance of a double top. the recent 
3,"although global risk headlines have been quite a few over the weekend, usd/jpy fails to extend its bounce off 100-day ema amid the initial "
4,the usd/jpy was closed at 108.169 after placing a high of 108.322 and a low of 107.884. overall movement for the pair remained bullish that 
5,intra-day market moving news and views update time: 04 nov 2019 04:30gmt usd/jpy - 108.23.. dollar moves narrowly in holiday-thinned 
6,"the usd/jpy pair lost 50 pips last week and started to retrace its drop on monday. as of writing, the pair was trading at fresh session highs at "
7,"following an upside breakout of a large head and shoulders bottom pattern several weeks ago, the usd/jpy pulled back to test support of the "
8,"the usd/jpy pair fell last week to finish it at 108.16, having recovered just modestly on friday after bottoming at 107.88. it found support on a "
9,"based on last week's price action and the close at 108.191, the direction of the usd/jpy this week is likely to be determined by trader reaction to a support "
10,usd/jpy has been looking for a new direction after a tumultuous week that saw ups and downs. where next for this major pair? the technical 
11,"with this, the usd/jpy pair takes the bids to 108.75 by the press time of tokyo open on tuesday. not only trade-positive comments from the us "
12,"the usd/jpy pair has posted a robust comeback this monday, reaching the 108.60 during the us afternoon, as wall street surged, with the "
13,"the usd/jpy pair lost 50 pips last week and started to retrace its drop on monday. as of writing, the pair was trading at fresh session highs at "
14,"the usd/jpy pair continued gaining positive traction for the third consecutive session on tuesday and is currently placed at multi-day tops, "
15,the corrective forces through dollar/yen were held up a touch on friday with mixed data points positive payrolls but disappointing ism 
16,"according to fx strategists at uob group, usd/jpy carries the potential to re-visit the mid-107.00s in the near term."
17,usd/jpy had a very bearish last week. the pair produced an engulfing bearish weekly candle at the resistance of a double top. the recent 
18,"although global risk headlines have been quite a few over the weekend, usd/jpy fails to extend its bounce off 100-day ema amid the initial "
19,the usd/jpy pair spiked to 109 after the federal open market committee fomc announced that it lowered the policy rate by 25 basis points 
20,"looking at the chart below, there is a rising wedge formation which usd/jpy is heading to the top of. on friday there was a decent sell-off but "
21,usd/jpy has been looking for a new direction after a tumultuous week that saw ups and downs. where next for this major pair? the technical 
22,"the dollar bulls look rattled after the fomc decision last week, but have managed to pick themselves up and string together two positive "
23,daily market outlook on major. update time: 05 nov 2019 09:30gmt. usd/jpy - 108.82. despite dollar's retreat to 107.90 in asia on 
24,"following the recent price action, usd/jpy is still seen navigating within a sideline theme, suggested fx strategists at uob group."
25,the pair built on last week's late rebound from sub-108.00 levels and continued gaining some positive traction for the third consecutive session 
26,usd/jpy continues to gain altitude amid the us-china trade optimism and the uptick in the equities. the pair is currently trading at session 
27,the usd/jpy pair rose further during the american session and printed a fresh daily high at 108.50. the greenback is rising for the 
28,"the usd/jpy pair has extended its recovery to 108.89, as risk appetite continued to dominate the financial sphere. asian equities followed the "
29,"the pair rallies for the third straight day, boosted by fresh hopes on us/china trade deal that prompted investors into riskier assets. last week's "
30,"the usd/jpy pair rallied around 50 pips in the last hour and refreshed session tops in the last hour, with bulls looking to extend the momentum "
31,usd/jpy - 108.90.. dlr finally cut its recent winning streak n edged lower to 108.92 in asia wed on profit taking due to falling u.s. yields.
32,"usd/jpy is currently trading at 108.74, representing a 24-pip loss on the daily open of 108.98. the currency pair is losing altitude amid the "
33,"the usd/jpy made a bearish bounce at the previous top and has broken below the support trend line dotted blue, which could indicate a "
34,optimistic news on us/china trade issue prompted investors into riskier assets and pushed the pair back above 200dma 109.02.
35,usd/jpy struggles to extend the latest pullback after japanese manufacturers turn the most pessimistic since 2013. upbeat trade/brexit 
36,"the usd/jpy pair has retreated from a weekly high of 109.23, extending its intraday slide to 108.81 following us-china trade news, as, "
37,"after spending the majority of the day moving sideways near the 109 handle, the usd/jpy pair came under strong bearish pressure in the last "
38,"the up move in usd/jpy is seen meeting a tough barrier at 109.75 in the short-term horizon, in opinion of fx strategists at uob group."
39,"usd/jpy is challenging the 109.00 handle and the 200-day simple moving average sma on the daily chart. in both september and october, "
